province,date_death_report,deaths,cumulative_deaths
British Columbia,07/04/2020,4,43
British Columbia,08/04/2020,5,48
British Columbia,09/04/2020,2,50
British Columbia,10/04/2020,5,55
British Columbia,11/04/2020,3,58
British Columbia,12/04/2020,0,58
British Columbia,13/04/2020,11,69
British Columbia,14/04/2020,3,72
British Columbia,15/04/2020,3,75
British Columbia,16/04/2020,2,77
British Columbia,17/04/2020,1,78
British Columbia,18/04/2020,3,81
British Columbia,19/04/2020,0,81
British Columbia,20/04/2020,5,86
British Columbia,21/04/2020,1,87
British Columbia,22/04/2020,3,90
British Columbia,23/04/2020,4,94
British Columbia,24/04/2020,4,98
British Columbia,25/04/2020,2,100
British Columbia,26/04/2020,0,100
British Columbia,27/04/2020,3,103
British Columbia,28/04/2020,2,105
British Columbia,29/04/2020,4,109
British Columbia,30/04/2020,2,111
British Columbia,01/05/2020,1,112
British Columbia,02/05/2020,2,114
British Columbia,03/05/2020,0,114
British Columbia,04/05/2020,3,117
British Columbia,05/05/2020,4,121
British Columbia,06/05/2020,3,124
British Columbia,07/05/2020,2,126
British Columbia,08/05/2020,1,127
British Columbia,09/05/2020,2,129
British Columbia,10/05/2020,0,129
British Columbia,11/05/2020,1,130
British Columbia,12/05/2020,1,131
British Columbia,13/05/2020,1,132
British Columbia,14/05/2020,3,135
British Columbia,15/05/2020,5,140
British Columbia,16/05/2020,1,141
British Columbia,17/05/2020,0,141
British Columbia,18/05/2020,2,143
British Columbia,19/05/2020,3,146
British Columbia,20/05/2020,3,149
British Columbia,21/05/2020,3,152
British Columbia,22/05/2020,3,155
British Columbia,23/05/2020,2,157
British Columbia,24/05/2020,0,157
British Columbia,25/05/2020,4,161
British Columbia,26/05/2020,0,161
British Columbia,27/05/2020,1,162
British Columbia,28/05/2020,2,164
British Columbia,29/05/2020,0,164
British Columbia,30/05/2020,0,164
British Columbia,31/05/2020,0,164
British Columbia,01/06/2020,1,165
British Columbia,02/06/2020,0,165
British Columbia,03/06/2020,1,166
British Columbia,04/06/2020,0,166
British Columbia,05/06/2020,1,167
British Columbia,06/06/2020,0,167
British Columbia,07/06/2020,0,167
British Columbia,08/06/2020,0,167
British Columbia,09/06/2020,0,167
British Columbia,10/06/2020,0,167
British Columbia,11/06/2020,0,167
British Columbia,12/06/2020,1,168
British Columbia,13/06/2020,0,168
British Columbia,14/06/2020,0,168
British Columbia,15/06/2020,0,168
British Columbia,16/06/2020,0,168
British Columbia,17/06/2020,0,168
British Columbia,18/06/2020,0,168
British Columbia,19/06/2020,0,168
British Columbia,20/06/2020,0,168
British Columbia,21/06/2020,0,168
British Columbia,22/06/2020,1,169
British Columbia,23/06/2020,1,170
British Columbia,24/06/2020,1,171
British Columbia,25/06/2020,2,173
British Columbia,26/06/2020,1,174
British Columbia,27/06/2020,0,174
British Columbia,28/06/2020,0,174
British Columbia,29/06/2020,0,174
British Columbia,30/06/2020,0,174
British Columbia,01/07/2020,0,174
British Columbia,02/07/2020,3,177
British Columbia,03/07/2020,0,177
British Columbia,04/07/2020,0,177
British Columbia,05/07/2020,0,177
British Columbia,06/07/2020,6,183
British Columbia,07/07/2020,0,183
British Columbia,08/07/2020,3,186
British Columbia,09/07/2020,0,186
British Columbia,10/07/2020,1,187
British Columbia,11/07/2020,0,187
British Columbia,12/07/2020,0,187
British Columbia,13/07/2020,2,189
British Columbia,14/07/2020,0,189
British Columbia,15/07/2020,0,189
British Columbia,16/07/2020,0,189
British Columbia,17/07/2020,0,189
British Columbia,18/07/2020,0,189
British Columbia,19/07/2020,0,189
British Columbia,20/07/2020,0,189
British Columbia,21/07/2020,0,189
British Columbia,22/07/2020,0,189
British Columbia,23/07/2020,1,190
British Columbia,24/07/2020,1,191
British Columbia,25/07/2020,0,191
British Columbia,26/07/2020,0,191
British Columbia,27/07/2020,2,193
British Columbia,28/07/2020,1,194
British Columbia,29/07/2020,0,194
British Columbia,30/07/2020,0,194
British Columbia,31/07/2020,1,195
British Columbia,01/08/2020,0,195
British Columbia,02/08/2020,0,195
British Columbia,03/08/2020,0,195
British Columbia,04/08/2020,0,195
British Columbia,05/08/2020,0,195
British Columbia,06/08/2020,0,195
British Columbia,07/08/2020,0,195
British Columbia,08/08/2020,0,195
British Columbia,09/08/2020,0,195
British Columbia,10/08/2020,0,195
British Columbia,11/08/2020,0,195
British Columbia,12/08/2020,1,196
British Columbia,13/08/2020,0,196
British Columbia,14/08/2020,0,196
British Columbia,15/08/2020,0,196
British Columbia,16/08/2020,0,196
British Columbia,17/08/2020,2,198
British Columbia,18/08/2020,0,198
British Columbia,19/08/2020,0,198
British Columbia,20/08/2020,2,200
British Columbia,21/08/2020,2,202
British Columbia,22/08/2020,0,202
British Columbia,23/08/2020,0,202
British Columbia,24/08/2020,1,203
British Columbia,25/08/2020,0,203
British Columbia,26/08/2020,0,203
British Columbia,27/08/2020,1,204
British Columbia,28/08/2020,0,204
British Columbia,29/08/2020,0,204
British Columbia,30/08/2020,0,204
British Columbia,31/08/2020,4,208
British Columbia,01/09/2020,1,209
British Columbia,02/09/2020,0,209
British Columbia,03/09/2020,1,210
British Columbia,04/09/2020,1,211
British Columbia,05/09/2020,0,211
British Columbia,06/09/2020,0,211
British Columbia,07/09/2020,0,211
British Columbia,08/09/2020,2,213
British Columbia,09/09/2020,0,213
British Columbia,10/09/2020,0,213
British Columbia,11/09/2020,0,213
British Columbia,12/09/2020,0,213
British Columbia,13/09/2020,0,213
British Columbia,14/09/2020,6,219
British Columbia,15/09/2020,0,219
British Columbia,16/09/2020,0,219
British Columbia,17/09/2020,1,220
British Columbia,18/09/2020,3,223
British Columbia,19/09/2020,0,223
British Columbia,20/09/2020,0,223
British Columbia,21/09/2020,4,227
British Columbia,22/09/2020,0,227
British Columbia,23/09/2020,0,227
British Columbia,24/09/2020,2,229
British Columbia,25/09/2020,1,230
British Columbia,26/09/2020,0,230
British Columbia,27/09/2020,0,230
British Columbia,28/09/2020,3,233
British Columbia,29/09/2020,1,234
British Columbia,30/09/2020,0,234
British Columbia,01/10/2020,1,235
British Columbia,02/10/2020,3,238
British Columbia,03/10/2020,0,238
British Columbia,04/10/2020,0,238
British Columbia,05/10/2020,4,242
British Columbia,06/10/2020,2,244
British Columbia,07/10/2020,0,244
British Columbia,08/10/2020,1,245
British Columbia,09/10/2020,0,245
British Columbia,10/10/2020,0,245
British Columbia,11/10/2020,0,245
British Columbia,12/10/2020,0,245
British Columbia,13/10/2020,5,250
British Columbia,14/10/2020,0,250
British Columbia,15/10/2020,0,250
British Columbia,16/10/2020,1,251
British Columbia,17/10/2020,0,251
British Columbia,18/10/2020,0,251
British Columbia,19/10/2020,2,253
British Columbia,20/10/2020,1,254
British Columbia,21/10/2020,2,256
British Columbia,22/10/2020,0,256
British Columbia,23/10/2020,0,256
British Columbia,24/10/2020,0,256
British Columbia,25/10/2020,0,256
British Columbia,26/10/2020,3,259
British Columbia,27/10/2020,0,259
British Columbia,28/10/2020,2,261
British Columbia,29/10/2020,1,262
British Columbia,30/10/2020,1,263
British Columbia,31/10/2020,0,263
British Columbia,01/11/2020,0,263
British Columbia,02/11/2020,6,269
British Columbia,03/11/2020,3,272
British Columbia,04/11/2020,1,273
British Columbia,05/11/2020,0,273
British Columbia,06/11/2020,2,275
British Columbia,07/11/2020,1,276
British Columbia,08/11/2020,0,276
British Columbia,09/11/2020,5,281
British Columbia,10/11/2020,3,284
